Suburb;Fire_Station
SANDDRIFT;MILNERTON
SANDOWN;MILNERTON
SANDVLEI;MACASSAR
SANLAMHOF;BELLVILLE
SAREPTA;KUILSRIVER
SAXENBURG PARK 1;KUILSRIVER
SAXENBURG PARK 2;KUILSRIVER
SAXON INDUSTRIAL;BELLVILLE
SAXONSEA;ATLANTIS
SAXONWOOD;ATLANTIS
SCARBOROUGH;SIMONSTOWN
SCHONENBERG;SOMERSET WEST
SCHOONGEZICHT;DURBANVILLE
SCOTTSDENE;BRACKENFELL
SCOTTSVILLE;KRAAIFONTEIN
SEA BREEZE PARK;STRAND
SEA POINT;SEA POINT
SEAWINDS;LAKESIDE
SELBORNE;BELLVILLE
SERCOR PARK;STRAND
SHERWOOD;ATLANTIS
SHIRLEY PARK;BELLVILLE
SIGNAL HILL / LIONS HEAD;SEA POINT
SILVEROAKS;KUILSRIVER
SILVERSANDS;MFULENI
SILVERTAS;SOMERSET WEST
SILVERTOWN;EPPING
SILVERTOWN - KHAYELITSHA;KHAYELITSHA
SILWERBOOMKLOOF;SOMERSET WEST
SIMON'S TOWN;SIMONSTOWN
SIR LOWRY'S PASS;SIR LOWRYS PASS
SIR LOWRY'S PASS VILLAGE CENTRE;SIR LOWRYS PASS
SIRROCCO'S;BELLVILLE
SITARI COUNTRY ESTATE;MACASSAR
SMARTIE TOWN;MACASSAR
SMITSWINKELBAAI;SIMONSTOWN
SOMERSET FOREST;SIR LOWRYS PASS
SOMERSET RIDGE;SOMERSET WEST
SOMERSET WEST;SOMERSET WEST
SOMERSET WEST BUSINESS PARK;STRAND
SOMERSET WEST COUNTRY CLUB;SOMERSET WEST
SOMERSET WEST NATURE RESERVE;SOMERSET WEST
SONEIKE I;KUILSRIVER
SONEIKE II;KUILSRIVER
SONKRING;BRACKENFELL
SONNEKUIL;KUILSRIVER
SONNENDAL;GOODWOOD
SONSTRAAL;DURBANVILLE
SONSTRAAL HEIGHTS;DURBANVILLE
SOUTHFIELD;WYNBERG
SOUTHFORK;STRAND
SPANISH FARM;SOMERSET WEST
SPRINGBOKPARK;BRACKENFELL
SPRINGFIELD;DURBANVILLE
ST DUMAS;KUILSRIVER
ST JAMES;FISH HOEK
ST MICHAELS;BRACKENFELL
STEENBERG;LAKESIDE
STEENBRAS VIEW;SOMERSET WEST
STELLENBERG;DURBANVILLE
STELLENBOSCH FARMS;SIR LOWRYS PASS
STELLENBOSCH FARMS (BLUE DOWNS);KUILSRIVER
STELLENBOSCH FARMS (KUILSRIVIER);KUILSRIVER
STELLENBOSCH UNIV;BELLVILLE
STELLENDALE;KUILSRIVER
STELLENRIDGE;BELLVILLE
STELLENRYK;DURBANVILLE
STIKLAND;BELLVILLE
STIKLAND HOSPITAAL;BELLVILLE
STIKLAND INDUSTRIA;BELLVILLE
STRAND;STRAND
STRAND GOLF CLUB;SOMERSET WEST
STRAND INDUSTRIA;SOMERSET WEST
STRANDFONTEIN;MITCHELLS PLAIN
STRANDVALE;SOMERSET WEST
STUART'S HILL;SOMERSET WEST
SUMMER GREENS;MILNERTON
SUMMERVILLE;KRAAIFONTEIN
SUN CITY;SIR LOWRYS PASS
SUN VALLEY;KOMMETJIE ROAD
SUNBIRD PARK;KUILSRIVER
SUNNINGDALE;MILNERTON
SUNNYDALE;KOMMETJIE ROAD
SUNRIDGE;MILNERTON
SUNSET BEACH;MILNERTON
SURREY ESTATE;GUGULETU
SYBRAND PARK;SALT RIVER
TABLE MOUNTAIN;SALT RIVER
TABLE VIEW;MILNERTON
TAFELSIG;KHAYELITSHA
TAMBOERSKLOOF;SEA POINT
TEMPERANCE TOWN;SIR LOWRYS PASS
THE CONIFERS;MFULENI
THE CREST;DURBANVILLE
THE HAGUE;BELHAR
THE LINK;SOMERSET WEST
THE RANGE;EPPING
THE STABLES;MILNERTON
THEMBOKWEZI;LANSDOWNE ROAD
THORNTON;EPPING
THREE ANCHOR BAY;SEA POINT
TIJGERHOF;BROOKLYN
TOKAI;LAKESIDE
TOWNSEND ESTATE;EPPING
TRANSNET MARSHALLING YARD;BELLVILLE
TRE DONNE;SIR LOWRYS PASS
TRIANGLE FARM;BELLVILLE
TURTLE CREEK;KUILSRIVER
TUSCANY GLEN;MFULENI
TWIN PALMS;STRAND
TYGERBERG HOSPITAL;BELLVILLE
TYGERDAL;GOODWOOD
TYGERVALLEY;BELLVILLE
TYGERVALLEY WATERFRONT;BELLVILLE
UITSIG;BELHAR
UITZICHT;DURBANVILLE
UMRHABULO TRIANGLE;KHAYELITSHA
UWC;BELHAR
VALHALLA PARK;EPPING
VALMARY PARK;DURBANVILLE
VAN DER STEL;SOMERSET WEST
VAN RIEBEECKSHOF;DURBANVILLE
VANGUARD ESTATE;EPPING
VASCO ESTATE;GOODWOOD
VERGESIG;DURBANVILLE
VICTORIA MXENGE;LANSDOWNE ROAD
VICTORIA PARK;SOMERSET WEST
VIERLANDEN;DURBANVILLE
VIKING VILLAGE;KRAAIFONTEIN
VOELVLEI;KUILSRIVER
VOGELVLEI;BELLVILLE
